year,reporterISO,reporterDesc,partnerISO,partnerDesc,cmdCode,cmdDesc,flowDesc,qty,netWgt,cifvalue,fobvalue,primaryValue
2022,USA,USA,MEX,Mexico,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,2575791390.086,2575791390.086,31235653582.0,31027678497.0,31235653582.0
2023,USA,USA,MEX,Mexico,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,186377016.0,33009607.0,472173492.0,468361693.0,472173492.0
2023,USA,USA,BGD,Bangladesh,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,248408532.0,43555173.0,449572719.0,430006725.0,449572719.0
2023,USA,USA,VNM,Viet Nam,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,136605252.0,21504336.0,428670533.0,413235824.0,428670533.0
2023,USA,USA,KOR,"Korea, Rep.",6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,985716.0,237863.0,13654859.0,12884149.0,13654859.0
2023,USA,USA,CHN,China,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,302514372.0,61974923.0,585045637.0,547827763.0,585045637.0
2023,USA,USA,CHN,China,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,104217023.978,55216749072.0,54588332754.0,55216749072.0
2023,USA,USA,KOR,"Korea, Rep.",8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,2607361.702,1481020211.0,1472564876.0,1481020211.0
2023,USA,USA,MEX,Mexico,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,50507040.14,10360714728.0,10333464570.0,10360714728.0
2023,USA,USA,VNM,Viet Nam,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,59171984.837,19157603317.0,18995265928.0,19157603317.0
2023,USA,USA,BGD,Bangladesh,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,302.06,312.033,61735.0,61059.0,61735.0
2023,USA,USA,CHN,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,965735893.235,965735893.235,9918736778.0,9276874462.0,9918736778.0
2023,USA,USA,BGD,Bangladesh,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,17210.774,17210.774,258262.0,255017.0,258262.0
2023,USA,USA,KOR,"Korea, Rep.",8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,491520793.32,491520793.32,6169581852.0,5935105357.0,6169581852.0
2023,USA,USA,MEX,Mexico,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,2671272443.879,2671272443.879,35119285542.0,34870326094.0,35119285542.0
2023,USA,USA,VNM,Viet Nam,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,42617487.393,42617487.393,553013044.0,535116697.0,553013044.0
